time_pt,artist,song,spotify_url,spotify_id
07:28:28,Jesse Sykes & The Sweet Hereafter,Winter’s Empty Pages,https://open.spotify.com/track/4r6583FDGcghPyFmCrFeRI,4r6583FDGcghPyFmCrFeRI
07:47:13,Hank Williams,I’ll Never Get Out of This World Alive,https://open.spotify.com/track/4lFqXzZiOXD60B2K9KZsV2,4lFqXzZiOXD60B2K9KZsV2
07:47:14,The Kinks,Strangers,https://open.spotify.com/track/3hcU1qoBp7OEx1ZchiezDJ,3hcU1qoBp7OEx1ZchiezDJ
07:58:20,The War on Drugs,Under the Pressure,https://open.spotify.com/track/5j58jhAFzAy0keSuQYsQBn,5j58jhAFzAy0keSuQYsQBn
08:34:54,Jesse Welles,The List,https://open.spotify.com/track/2DtsW2HsaVBVCRcXF1MCqI,2DtsW2HsaVBVCRcXF1MCqI
08:58:25,David Bowie,Moonage Daydream,https://open.spotify.com/track/6mib3N4E8PZHAGQ3xy7bho,6mib3N4E8PZHAGQ3xy7bho
09:27:00,Remember Sports,Cut Fruit,https://open.spotify.com/track/6TU5wR1rcr4VaXQwFtwPMQ,6TU5wR1rcr4VaXQwFtwPMQ
09:27:01,Cracker,Low,https://open.spotify.com/track/6ctbCIikHbC6tSOL1rewQX,6ctbCIikHbC6tSOL1rewQX
09:57:25,GUV,Warmer Than Gold,https://open.spotify.com/track/7bq6AEBdKN1L9MtjXocQ2z,7bq6AEBdKN1L9MtjXocQ2z
