time_pt,artist,song,spotify_url,spotify_id
08:18:50,The Human League,(Keep Feeling) Fascination,https://open.spotify.com/track/2a6rF2apJlh6YBZLAMPTJ6,2a6rF2apJlh6YBZLAMPTJ6
08:18:51,Lykke Li,Lucky Again,https://open.spotify.com/track/0n63xAny4NjxRNgKnboEp8,0n63xAny4NjxRNgKnboEp8
08:18:51,Suki Waterhouse,Back in Love,https://open.spotify.com/track/3eFBPuf0y3Vguk6GUCNpwP,3eFBPuf0y3Vguk6GUCNpwP
08:18:52,Belly,"Full Moon, Empty Heart",https://open.spotify.com/track/13a6JphWDoq5Ap4c6jyDFT,13a6JphWDoq5Ap4c6jyDFT
