time_pt,artist,song,spotify_url,spotify_id
07:46:28,Jeff Tweedy,Caught Up in the Past,https://open.spotify.com/track/2JXZ6ZQ9nDVKiyws0VYWoE,2JXZ6ZQ9nDVKiyws0VYWoE
07:46:28,Neko Case,Destination,https://open.spotify.com/track/5BlGwkHjJHXa7ssaElVmYt,5BlGwkHjJHXa7ssaElVmYt
07:55:08,Geese,Cobra,https://open.spotify.com/track/7qOBKhD1a54OvLvVee2tGf,7qOBKhD1a54OvLvVee2tGf
08:15:11,R.E.M.,Exhuming McCarthy,https://open.spotify.com/track/7MkDvEslqFKLL0NubyaPNj,7MkDvEslqFKLL0NubyaPNj
08:45:24,The Cars,Drive,https://open.spotify.com/track/2lFFiNm0XtgJ6wkdncTB4k,2lFFiNm0XtgJ6wkdncTB4k
08:54:31,Madder Rose,Black Eye Town,https://open.spotify.com/track/7bD23cD9Z5X98gHHAAJe7t,7bD23cD9Z5X98gHHAAJe7t
08:54:32,Wednesday,Wound Up Here,https://open.spotify.com/track/4R7VfFjWXa62I3nDmiwAso,4R7VfFjWXa62I3nDmiwAso
09:17:49,Chromatics,On the Wall,https://open.spotify.com/track/1XiPbxVSCgMLO0QsUPazBt,1XiPbxVSCgMLO0QsUPazBt
