time_pt,artist,song,spotify_url,spotify_id
07:42:10,PVA,Peel,https://open.spotify.com/track/5hQYRz7wDVz8rxfRzHYmij,5hQYRz7wDVz8rxfRzHYmij
07:42:11,Avalon Emerson,Written into Changes,https://open.spotify.com/track/0JmWTXLKNep8x1uza83tpE,0JmWTXLKNep8x1uza83tpE
08:46:56,Iggy and The Stooges,Gimme Danger,https://open.spotify.com/track/4jgtwIapMV2IFv9hFKrRCa,4jgtwIapMV2IFv9hFKrRCa
08:46:56,Genesis Owusu,STAMPEDE,https://open.spotify.com/track/6gxGg4j7i3Ba7F2x0yi8br,6gxGg4j7i3Ba7F2x0yi8br
08:46:57,Kim Gordon,NOT TODAY,https://open.spotify.com/track/1tXniZMdXRV8FyUZHN51eS,1tXniZMdXRV8FyUZHN51eS
