time_pt,artist,song,spotify_url,spotify_id
07:17:17,Mozart,"Requiem in D minor, K. 626 (Süßmayr completion): IIIf. Sequenz: ""Lacrimosa""",https://open.spotify.com/track/4Lpe7VxL34rcMnpfOwoqOI,4Lpe7VxL34rcMnpfOwoqOI
07:39:09,Austra,The Hopefulness of Dawn,https://open.spotify.com/track/1O9VaJG6US98Os9bJ88VyA,1O9VaJG6US98Os9bJ88VyA
07:51:34,Tame Impala,Not My World,https://open.spotify.com/track/12wDKbddX9bUYHd1Rl8gmu,12wDKbddX9bUYHd1Rl8gmu
07:51:34,Temporary Blessings,Goblin Mode,https://open.spotify.com/track/0YGtBpikfgDrUCrGyzVkwa,0YGtBpikfgDrUCrGyzVkwa
07:51:35,Lava La Rue & Foster the People,JET LAGGED,https://open.spotify.com/track/482mvThJO7wdJJjymB9PmC,482mvThJO7wdJJjymB9PmC
