time_pt,artist,song,spotify_url,spotify_id
07:51:41,Matt Pond PA,The Stars Below,https://open.spotify.com/track/5ncLx7KVSuNNLqfCoZ7EAH,5ncLx7KVSuNNLqfCoZ7EAH
08:19:15,Greg Freeman,Indu,https://open.spotify.com/track/6cZ3PHOCMsI9ZPyDhmZk7Q,6cZ3PHOCMsI9ZPyDhmZk7Q
08:19:15,This Is Lorelei,Oh No Now My,https://open.spotify.com/track/2MbLMnGeW92YVBbsyHM5WR,2MbLMnGeW92YVBbsyHM5WR
08:44:20,moonvine,cherry spice,https://open.spotify.com/track/1hk7Zjum7tiJ2Rcmxu4Zy9,1hk7Zjum7tiJ2Rcmxu4Zy9
08:44:20,Goldfrapp,Ride a White Horse,https://open.spotify.com/track/2eTac8uKjsZ5EWO6d0tuVp,2eTac8uKjsZ5EWO6d0tuVp
08:44:20,The xx,Islands,https://open.spotify.com/track/0Rqwa6i410IwhTiugt6vXi,0Rqwa6i410IwhTiugt6vXi
