time_pt,artist,song,spotify_url,spotify_id
07:26:54,Karen Dalton,Something on Your Mind,https://open.spotify.com/track/23KI77aH4TKcb3rOMsYiSg,23KI77aH4TKcb3rOMsYiSg
07:26:54,Phoebe Bridgers,Haunted,https://open.spotify.com/track/4b1QYjd7i5D1Gx2VjN21qI,4b1QYjd7i5D1Gx2VjN21qI
07:26:54,Joe Strummer & the Mescaleros,Redemption Song,https://open.spotify.com/track/73bHlSaOEYODgZbku3RAYo,73bHlSaOEYODgZbku3RAYo
08:01:04,Margo Cilker,Little White Cross,https://open.spotify.com/track/1uCws3lKIeD6lip2CbFY2h,1uCws3lKIeD6lip2CbFY2h
08:40:56,Frankie Rose,Manifest,https://open.spotify.com/track/5vlS3q7RlavsjnGFeIqv7n,5vlS3q7RlavsjnGFeIqv7n
08:40:56,Fontaines D.C.,Marianne,https://open.spotify.com/track/69rHKcrQpYGfToPThOV1UB,69rHKcrQpYGfToPThOV1UB
08:40:56,Interpol,Untitled,https://open.spotify.com/track/2ZgyzFYYOz21b2AhPPkWKF,2ZgyzFYYOz21b2AhPPkWKF
