time_pt,artist,song,spotify_url,spotify_id
07:25:37,Bruce Springsteen,Does This Bus Stop at 82nd Street?,https://open.spotify.com/track/5GttWUZxYgLsWNdCMfisR0,5GttWUZxYgLsWNdCMfisR0
07:25:37,Foo Fighters,Learn to Fly,https://open.spotify.com/track/5OQsiBsky2k2kDKy2bX2eT,5OQsiBsky2k2kDKy2bX2eT
07:58:24,Pixies,Cactus,https://open.spotify.com/track/4S3XYcZFs6FbsiLwH13Z63,4S3XYcZFs6FbsiLwH13Z63
08:36:21,Rage Against the Machine,Killing in the Name,https://open.spotify.com/track/59WN2psjkt1tyaxjspN8fp,59WN2psjkt1tyaxjspN8fp
09:38:20,Van Morrison,Into the Mystic,https://open.spotify.com/track/3lh3iiiJeiBXHSZw6u0kh6,3lh3iiiJeiBXHSZw6u0kh6
09:54:59,Tom Petty and the Heartbreakers,The Last DJ,https://open.spotify.com/track/0uUy3WK0JtTqhSFikqprgz,0uUy3WK0JtTqhSFikqprgz
09:55:00,Wreckless Eric,Whole Wide World,https://open.spotify.com/track/4AHU8QRdwCUWxPC53cw4Hh,4AHU8QRdwCUWxPC53cw4Hh
