time_pt,artist,song,spotify_url,spotify_id
07:13:53,Three Dog Night,Mama Told Me Not to Come,https://open.spotify.com/track/1CAO7hiNOxJRPW4nFv2aRO,1CAO7hiNOxJRPW4nFv2aRO
07:13:53,Stealers Wheel,Stuck in the Middle With You,https://open.spotify.com/track/3Vby4nGmtbDo7HDJamOWkT,3Vby4nGmtbDo7HDJamOWkT
07:13:54,The Stranglers,Golden Brown,https://open.spotify.com/track/5GpfyJrKHJI36jDKtQiyGN,5GpfyJrKHJI36jDKtQiyGN
07:13:54,Big Thief,Words,https://open.spotify.com/track/2Cxs2cLG7HoXfcAlw67yIy,2Cxs2cLG7HoXfcAlw67yIy
