time_pt,artist,song,spotify_url,spotify_id
07:59:02,The Beatles,All You Need Is Love,https://open.spotify.com/track/68BTFws92cRztMS1oQ7Ewj,68BTFws92cRztMS1oQ7Ewj
07:59:02,Mike D,True Colors,https://open.spotify.com/track/2QmLWxA1wy1Si2uojYby1q,2QmLWxA1wy1Si2uojYby1q
08:55:43,Party Dozen,Special Unit,https://open.spotify.com/track/0u6gGjxVPbZmGs2ABQKrCy,0u6gGjxVPbZmGs2ABQKrCy
08:55:43,Yard Act,New Beginnings,https://open.spotify.com/track/26KwVbIh7uWnHBfEVfVar8,26KwVbIh7uWnHBfEVfVar8
08:55:44,Sugar,Keep Looping,https://open.spotify.com/track/6w6hiJ3lyfxwOAT8BpxlBf,6w6hiJ3lyfxwOAT8BpxlBf
09:47:49,Carl Bean,I Was Born This Way,https://open.spotify.com/track/75Yq3Gjhe8NDE6ex2LnQKv,75Yq3Gjhe8NDE6ex2LnQKv
