time_pt,artist,song,spotify_url,spotify_id
07:35:23,TRAITRS,"I Was Ill, You Were Wrong",https://open.spotify.com/track/0AZTuF4fVy8dcpV9l7X25b,0AZTuF4fVy8dcpV9l7X25b
08:06:11,Bruce Springsteen,Streets of Minneapolis,https://open.spotify.com/track/6AtgHxdvghUjcjdPX1VhWN,6AtgHxdvghUjcjdPX1VhWN
08:06:11,John Denver,"Take Me Home, Country Roads",https://open.spotify.com/track/1YYhDizHx7PnDhAhko6cDS,1YYhDizHx7PnDhAhko6cDS
08:56:45,Vampire Weekend,Cape Cod Kwassa Kwassa,https://open.spotify.com/track/1vTBBxcBB2Nb3ezQFRrGFO,1vTBBxcBB2Nb3ezQFRrGFO
