time_pt,artist,song,spotify_url,spotify_id
07:15:12,Brandi Carlile,Right On Time,https://open.spotify.com/track/5uyw6qVn71nKSBVyBl3Ytv,5uyw6qVn71nKSBVyBl3Ytv
07:15:13,This Mortal Coil,Song to the Siren,https://open.spotify.com/track/26uVYNtKahTAcZMDWiuBnt,26uVYNtKahTAcZMDWiuBnt
07:49:56,R.E.M.,The One I Love,https://open.spotify.com/track/7707eDBpR4qtNFoQ6nQyeR,7707eDBpR4qtNFoQ6nQyeR
08:47:18,The Jayhawks,Blue,https://open.spotify.com/track/5cDfI3KOa64zbuUgD6a4hG,5cDfI3KOa64zbuUgD6a4hG
08:56:10,Public Enemy,Can’t Truss It,https://open.spotify.com/track/5r5uZvXHbE4X6CdhnSATtX,5r5uZvXHbE4X6CdhnSATtX
09:44:11,KC and the Sunshine Band,Keep It Comin’ Love,https://open.spotify.com/track/0YWUf0FuvbOvAlrOAVaH8S,0YWUf0FuvbOvAlrOAVaH8S
09:44:12,Cut Copy & Kate Bollinger,Belong To You,https://open.spotify.com/track/0ldxSxecXt4pyOauTVkVZs,0ldxSxecXt4pyOauTVkVZs
09:44:12,Chaka Khan,I Feel for You,https://open.spotify.com/track/5yR9u8QiOt8hJaddv32oo7,5yR9u8QiOt8hJaddv32oo7
09:55:05,Nina Simone,Sinnerman,https://open.spotify.com/track/5xRP5iyVdGglqlY4Vcjhkx,5xRP5iyVdGglqlY4Vcjhkx
