time_pt,artist,song,spotify_url,spotify_id
07:15:51,The Cranberries,Liar,https://open.spotify.com/track/1ASMqs9x07lQPj4iMz46O3,1ASMqs9x07lQPj4iMz46O3
07:58:20,bloom effect,luna,https://open.spotify.com/track/7N3EhcW0QWxscJ7hWoA75j,7N3EhcW0QWxscJ7hWoA75j
08:23:19,Nine Inch Nails,Shadow Over Me,https://open.spotify.com/track/4bTYuyH7wejFS2e82i6pPb,4bTYuyH7wejFS2e82i6pPb
08:23:19,Nick Cave & The Bad Seeds,Hiding All Away,https://open.spotify.com/track/6MH3ifat8c0RC2LdKeyxxY,6MH3ifat8c0RC2LdKeyxxY
08:39:30,Echo & the Bunnymen,Lips Like Sugar,https://open.spotify.com/track/3Oa8vnNXStoOHLbJwwMEDP,3Oa8vnNXStoOHLbJwwMEDP
08:39:31,Modern English,I Melt With You,https://open.spotify.com/track/6J2rMSRhgb4HuX6dWgM3nJ,6J2rMSRhgb4HuX6dWgM3nJ
08:39:32,Buzzcocks,Ever Fallen in Love,https://open.spotify.com/track/5b2ZnVZi3kDOMX8iflXKuO,5b2ZnVZi3kDOMX8iflXKuO
08:57:24,Wednesday,Townies,https://open.spotify.com/track/2deA4WXDrTa7jAZuaIAeqo,2deA4WXDrTa7jAZuaIAeqo
08:57:24,Chitra,Big Shot,https://open.spotify.com/track/6O5zypZvG7jkUmlVkI9wHf,6O5zypZvG7jkUmlVkI9wHf
