time_pt,artist,song,spotify_url,spotify_id
07:15:24,Pain Magazine,Like a Storm,https://open.spotify.com/track/3oqcARPlB2o452dfD1vjiZ,3oqcARPlB2o452dfD1vjiZ
07:37:33,Moby,Memory Gospel,https://open.spotify.com/track/0hXPYCHo8hODncaZYNInSD,0hXPYCHo8hODncaZYNInSD
07:50:43,Cocteau Twins,In the Gold Dust Rush,https://open.spotify.com/track/3cncUbvmRdvKS4PDUlXlOH,3cncUbvmRdvKS4PDUlXlOH
08:16:11,Just Mustard,Endless Deathless,https://open.spotify.com/track/6TmdbHXUuwNbO7gOeuRmVG,6TmdbHXUuwNbO7gOeuRmVG
08:16:12,Depeche Mode,In The End,https://open.spotify.com/track/7bHzLpZBL0gl71VYoTqgpF,7bHzLpZBL0gl71VYoTqgpF
