time_pt,artist,song,spotify_url,spotify_id
07:19:56,Jimmy Cliff,"Wonderful World, Beautiful People",https://open.spotify.com/track/4GEz5ZGMPcX9OZ5ta0v85e,4GEz5ZGMPcX9OZ5ta0v85e
07:54:31,Lykke Li,Sick of Love,https://open.spotify.com/track/2SBG0gV6jMzMFktQch4yvS,2SBG0gV6jMzMFktQch4yvS
07:54:31,Wet Leg,CPR,https://open.spotify.com/track/0K7FxrnT2QE5O4EqjQU7kO,0K7FxrnT2QE5O4EqjQU7kO
08:27:27,Guru,Loungin’,https://open.spotify.com/track/1VzhfMEGIIkn5hFITMJzW1,1VzhfMEGIIkn5hFITMJzW1
08:27:28,De La Soul,Me Myself and I,https://open.spotify.com/track/792UwI6utk5DMQUT1KXa5E,792UwI6utk5DMQUT1KXa5E
