time_pt,artist,song,spotify_url,spotify_id
07:36:00,Caitlin and Brent,Pleasure in the Pain,https://open.spotify.com/track/3YKi6KElcNkIqhpPFHWrfw,3YKi6KElcNkIqhpPFHWrfw
07:51:56,Peter Gabriel,Been Undone,https://open.spotify.com/track/32KBlDEMiaDGYA5ZPKwvvq,32KBlDEMiaDGYA5ZPKwvvq
08:22:06,The Afghan Whigs,Downtown,https://open.spotify.com/track/4kVVU9OYWq9UlQyOfbbnzk,4kVVU9OYWq9UlQyOfbbnzk
08:22:06,Interpol,Obstacle 2,https://open.spotify.com/track/4zYBNOB5TOf1cMpFxA5e6N,4zYBNOB5TOf1cMpFxA5e6N
08:50:16,David Bowie,Starman,https://open.spotify.com/track/43R4zUjfnrz0rjlcdzir3D,43R4zUjfnrz0rjlcdzir3D
09:18:57,Hercules & Love Affair & Hips & Lips,Someone Else is Calling,https://open.spotify.com/track/4z2RUWtRja1oXP9KyE599Q,4z2RUWtRja1oXP9KyE599Q
09:42:30,Boy Deluxe,Whiplash,https://open.spotify.com/track/6z25zWd1r5sHfpU6941qJK,6z25zWd1r5sHfpU6941qJK
