time_pt,artist,song,spotify_url,spotify_id
07:33:20,Twin Shadow,Dominoes,https://open.spotify.com/track/5Tgg3YgkGLnT9dxR2Qpqy1,5Tgg3YgkGLnT9dxR2Qpqy1
07:53:11,Odonis Odonis,The Same,https://open.spotify.com/track/1Lwuo4BmuREdb0eT8IHz0P,1Lwuo4BmuREdb0eT8IHz0P
08:24:25,Barbara Dane,I Hate the Capitalist System,https://open.spotify.com/track/5XFfcpc0V1fqHeiEjJd4y5,5XFfcpc0V1fqHeiEjJd4y5
08:24:26,The Mountain Goats,See America Right,https://open.spotify.com/track/0IXl9HE9k2s0QTfp8mPGWC,0IXl9HE9k2s0QTfp8mPGWC
09:58:53,Beirut,A Sunday Smile,https://open.spotify.com/track/3XFTgPXd9Y2O1EWeaMslgv,3XFTgPXd9Y2O1EWeaMslgv
09:58:53,DeVotchKa,The Alley,https://open.spotify.com/track/3AzHll7Ic2ebh4AZ3PFMW7,3AzHll7Ic2ebh4AZ3PFMW7
