time_pt,artist,song,spotify_url,spotify_id
07:28:02,Joe Cocker,With a Little Help From My Friends,https://open.spotify.com/track/1mKwFdeweW4S5LrdStIVu4,1mKwFdeweW4S5LrdStIVu4
07:28:02,Aretha Franklin,Love the One You’re,https://open.spotify.com/track/0tFlfhP555Y1alrtpw23Ch,0tFlfhP555Y1alrtpw23Ch
07:46:55,John Lennon,Mind Games,https://open.spotify.com/track/3QmUhaY5KZiOuaUH8H71LG,3QmUhaY5KZiOuaUH8H71LG
07:46:55,Tomo Nakayama,Blue,https://open.spotify.com/track/2pHApgc1zROGhdESpJsX6S,2pHApgc1zROGhdESpJsX6S
08:31:38,Cat Stevens,Moonshadow,https://open.spotify.com/track/5p3nvmoaAY03qGmBQApn0w,5p3nvmoaAY03qGmBQApn0w
08:31:39,The Brudi Brothers,Hanford Street,https://open.spotify.com/track/3pKT9oiKZAY4MNNP5qvlHp,3pKT9oiKZAY4MNNP5qvlHp
08:56:49,R.E.M.,Belong,https://open.spotify.com/track/2RG3KoPJ4OUk9wR3rNsojK,2RG3KoPJ4OUk9wR3rNsojK
09:22:26,Home Front,The Vanishing,https://open.spotify.com/track/3gbNJoJ04i7uJzw1fJ9P53,3gbNJoJ04i7uJzw1fJ9P53
09:22:26,M83,Reunion,https://open.spotify.com/track/7zZkPiqHnL7icGGb4Almf6,7zZkPiqHnL7icGGb4Almf6
